Host.Family,BLFamilyLatin,species_clean,species_jetz,Mite.Group,Mite.Group2,sociality,foraging_cat,elevation_cat,TipLabel,Sample.Full..,keycol,valuecol
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V182,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V399,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V401,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V663,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P110159,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P110238,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P110290,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P115962,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P116087,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P116119,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P116200,Mite.Genus,
